TempBodyAccelerationmean.X  TempBodyAccelerationmean.Y  TempBodyAccelerationmean.Z  TempBodyAccelerationstd.X  TempBodyAccelerationstd.Y  TempBodyAccelerationstd.Z  TempGravityAccelerationmean.X  TempGravityAccelerationmean.Y  TempGravityAccelerationmean.Z  TempGravityAccelerationstd.X  TempGravityAccelerationstd.Y  TempGravityAccelerationstd.Z  TempBodyAccelerationJerkmean.X  TempBodyAccelerationJerkmean.Y  TempBodyAccelerationJerkmean.Z  TempBodyAccelerationJerkstd.X  TempBodyAccelerationJerkstd.Y  TempBodyAccelerationJerkstd.Z  TempBodyGyroscopemean.X  TempBodyGyroscopemean.Y  TempBodyGyroscopemean.Z  TempBodyGyroscopestd.X  TempBodyGyroscopestd.Y  TempBodyGyroscopestd.Z  TempBodyGyroscopeJerkmean.X  TempBodyGyroscopeJerkmean.Y  TempBodyGyroscopeJerkmean.Z  TempBodyGyroscopeJerkstd.X  TempBodyGyroscopeJerkstd.Y  TempBodyGyroscopeJerkstd.Z  TempBodyAccelerationMagnitudemean  TempBodyAccelerationMagnitudestd  TempGravityAccelerationmean  TempGravityAccelerationstd  TempBodyAccelerationJerkMagmean  TempBodyAccelerationJerkMagstd  TempBodyGyroscopeMagmean  TempBodyGyroscopeMagstd  TempBodyGyroscopeJerkMagmean  TempBodyGyroscopeJerkMagstd  FrequencyBodyAccelerationmean.X  FrequencyBodyAccelerationmean.Y  FrequencyBodyAccelerationmean.Z  FrequencyBodyAccelerationstd.X  FrequencyBodyAccelerationstd.Y  FrequencyBodyAccelerationstd.Z  FrequencyBodyAccelerationJerkmean.X  FrequencyBodyAccelerationJerkmean.Y  FrequencyBodyAccelerationJerkmean.Z  FrequencyBodyAccelerationJerkstd.X  FrequencyBodyAccelerationJerkstd.Y  FrequencyBodyAccelerationJerkstd.Z  FrequencyBodyGyroscopemean.X  FrequencyBodyGyroscopemean.Y  FrequencyBodyGyroscopemean.Z  FrequencyBodyGyroscopestd.X  FrequencyBodyGyroscopestd.Y  FrequencyBodyGyroscopestd.Z  FrequencyBodyAccelerationMagnitudemean  FrequencyBodyAccelerationMagnitudestd  FrequencyBodyAccelerationJerkMagnitudemean  FrequencyBodyAccelerationJerkMagnitudestd  FrequencyBodyGyroscopeMagnitudemean  FrequencyBodyGyroscopeMagnitudestd  FrequencyBodyGyroscopeJerkmean  FrequencyBodyGyroscopeJerkstd  ActivityCode  SubjectID
X1  0.280192071325648  -0.0171474952388473  -0.109578637414986  -0.749288164494813  -0.686717059188559  -0.74625758173487  0.717302854034582  -0.0124879671291066  0.106732715220173  -0.97487347  -0.964606043507205  -0.951780186804035  0.0801240519443804  0.0107309188824208  -0.0102543309356628  -0.755756712099424  -0.7442008725683  -0.844717969164265  -0.0445326779714409  -0.068358975667147  0.080295706395389  -0.814218696118156  -0.795394853565706  -0.758783896971182  -0.0970074357985591  -0.0393604935610951  -0.0601455698817867  -0.829653656043228  -0.868737701046109  -0.825054971166772  -0.709314353113545  -0.726891337481844  -0.709314353113545  -0.726891337481844  -0.767942478041095  -0.749859558527954  -0.737985074714121  -0.771827342585014  -0.85045370685879  -0.861721803827089  -0.750621242624784  -0.699998362043228  -0.779293101682133  -0.749414388561239  -0.700553568342939  -0.749299014098559  -0.76183126130634  -0.753583177102882  -0.829185175312392  -0.771872956215274  -0.752025515334294  -0.859237990432277  -0.781793730527378  -0.809902198144092  -0.751548242422478  -0.825968155602306  -0.790297946059597  -0.785223304901153  -0.717517650663689  -0.775632181114409  -0.740943564471326  -0.76311399915072  -0.799648330813833  -0.794146042501441  -0.861571009201729  -0.871940904348703  3.17291066282421  1
X2  0.276795640304636  -0.0166369810659371  -0.108056222606954  -0.486170452165232  -0.411443878465364  -0.548615301014901  0.653459189536424  -0.017198642665894  0.0989321056066556  -0.96383588513245  -0.955862738211921  -0.94149289192053  0.0802623551268212  0.0100662663809934  0.0020322369068543  -0.520737549075828  -0.497140755365364  -0.697704063284768  -0.0256574181517219  -0.080456336489404  0.0918395141728477  -0.66570094532649  -0.654186754046358  -0.583878378652318  -0.0913779201013576  -0.0356914703635762  -0.0560935632980132  -0.671804408145695  -0.739260121082781  -0.655663737328146  -0.436308130805033  -0.494480739715232  -0.436308130805033  -0.494480739715232  -0.540723185711921  -0.519261729446887  -0.547946712950331  -0.609694086050331  -0.703216901051656  -0.723991250956954  -0.510016343743046  -0.43756769842351  -0.589816132340066  -0.47932213294596  -0.436062582507285  -0.563626207528146  -0.545639134456622  -0.531077201979338  -0.674887398715232  -0.538780144361921  -0.49517537264702  -0.719347558043046  -0.599085058748344  -0.660110676493378  -0.562098510470099  -0.688804714238411  -0.655518197397351  -0.63168638439404  -0.48144102638245  -0.582740516814901  -0.511416884912384  -0.534134363263576  -0.642474732197351  -0.658186382791391  -0.727163613976821  -0.741064006933775  3.43708609271523  2
X3  0.279322823891496  -0.0160984953111437  -0.108834867471032  -0.702104111204692  -0.624466720641642  -0.721167668175953  0.632850644442815  0.00633432296589443  0.14692070838915  -0.968156048269795  -0.964289187917889  -0.946141598826979  0.0852850811169795  -0.00249927156082698  -0.0036066507182698  -0.718604957643695  -0.702659261400528  -0.837059778328446  -0.0373143675146921  -0.0781525801623754  0.08261205335  -0.783062685929619  -0.75992433114956  -0.738961772973607  -0.0932348512927566  -0.0347898571317595  -0.0543549998052786  -0.793168595225806  -0.853125422460411  -0.813047094894428  -0.659646911532845  -0.686043141894721  -0.659646911532845  -0.686043141894721  -0.737439906713196  -0.711956868508798  -0.696929667860704  -0.73423185785044  -0.830291085973607  -0.840552343674487  -0.710422494618768  -0.649813888143695  -0.7633970434761  -0.699901276913196  -0.636265250989443  -0.722629456958651  -0.732371176882698  -0.717926276219941  -0.823005643695015  -0.729808619549853  -0.706408466763812  -0.849862380245865  -0.74428318270176  -0.786067673152493  -0.736305314848974  -0.796996242985337  -0.749757762580938  -0.765482730190616  -0.680505222313783  -0.739261837854545  -0.707091099409677  -0.720202636394428  -0.770178385041056  -0.758401359519355  -0.842283374296188  -0.849807445334311  3.5425219941349  3
X4  0.276438697938801  -0.0188223623270032  -0.107667675977918  -0.553032878739117  -0.44732145270205  -0.571707271249211  0.736132250126183  -0.0149155637067823  0.129411860611577  -0.964937461230284  -0.953101033858044  -0.937561398564669  0.0794082200577287  0.00546099145479495  -0.00175583683213565  -0.592055655855521  -0.538470147206309  -0.721725648356467  -0.0314033983470978  -0.0733896094868139  0.0804302082712618  -0.666167326563092  -0.652861399792114  -0.630955133256782  -0.101002475537539  -0.0568639936293375  -0.0633707734886435  -0.68119703770347  -0.768679527274448  -0.690025369539432  -0.488058244081073  -0.540668989878864  -0.488058244081073  -0.540668989878864  -0.59322981130041  -0.573648462028391  -0.556349679594953  -0.615552985306309  -0.72842664359306  -0.749398210353312  -0.576238354728076  -0.468184296674132  -0.620373311090536  -0.545521716091546  -0.473614142394322  -0.582357493865615  -0.611664583992114  -0.565490713045426  -0.699052660500946  -0.608825445926224  -0.541005112999685  -0.743236548684543  -0.610779133287382  -0.675025467879243  -0.596685873637224  -0.686198227829338  -0.645505872446372  -0.679131623211356  -0.53318191452776  -0.618066981072524  -0.566903044521136  -0.586113594339432  -0.654617631728801  -0.658447947649527  -0.749708370652997  -0.767402461324921  3.4794952681388  4
X5  0.276869321370861  -0.0162791039452318  -0.108165820481126  -0.661772512809603  -0.554459555716556  -0.637540656926159  0.706875793245033  -0.00759798541622517  0.0657147342109271  -0.970757736092715  -0.953996980208609  -0.94407339486755  0.0727044633462086  0.00793741227761589  -0.0174653211666192  -0.681317455459603  -0.636396490384106  -0.780315229007947  -0.035186350543543  -0.0711826006064238  0.096474010183543  -0.747228064682119  -0.731279814917218  -0.680607433235099  -0.0945103723672185  -0.0380458795821192  -0.05163890665  -0.766741060665563  -0.80917611381457  -0.773595879164901  -0.603296066554305  -0.628926503085762  -0.603296066554305  -0.628926503085762  -0.685633835319536  -0.654749339965232  -0.649329362596026  -0.697830525080464  -0.790371411288079  -0.796463052806291  -0.669908310072848  -0.575171926131788  -0.687277389083775  -0.659668423245695  -0.573452155095364  -0.640722836758278  -0.694751340669205  -0.653049040642053  -0.762867915957285  -0.69657714855298  -0.643450096336755  -0.796955248850993  -0.706748132182119  -0.749573570201987  -0.681440076020861  -0.76187585439404  -0.724264292775828  -0.711284127437086  -0.619774999690066  -0.693226129933444  -0.647671738538411  -0.666511585790397  -0.730929553252649  -0.730242683715629  -0.801212264403642  -0.805876607692053  3.50662251655629  5
X6  0.274067749596923  -0.016096015767492  -0.107544872488615  -0.604472435728615  -0.524187431960923  -0.647677572687385  0.727218484643077  -0.0350347988039692  0.0777973444324834  -0.971952657815385  -0.957806849692308  -0.949457848953846  0.0827120525363077  0.0161128176529231  -0.0074859653084  -0.657838241551385  -0.613771161797846  -0.778440010612308  -0.0409127723114905  -0.0675919556240923  0.0772556995063077  -0.743029121901538  -0.713789920916923  -0.64616933968  -0.0903364277898462  -0.0417602780618462  -0.0489190714302462  -0.742618085846154  -0.805389055304615  -0.725499760981538  -0.559295438037815  -0.595785699884615  -0.559295438037815  -0.595785699884615  -0.662467088856923  -0.647418309897015  -0.626914938984615  -0.680338744757538  -0.772172364339385  -0.789383898384615  -0.632051549293231  -0.548871948586461  -0.69030791128  -0.595463380398462  -0.542542714564338  -0.653154602949231  -0.675759971566769  -0.634793029984  -0.763092062212923  -0.67019283662  -0.617344361433785  -0.792833604774462  -0.690835716293846  -0.732804263830769  -0.635256813080677  -0.760938414090769  -0.706507586739692  -0.684051192250462  -0.5948593418316  -0.660416109991385  -0.64146412724  -0.658489867977539  -0.712030475184615  -0.715961954725846  -0.791083364569231  -0.802787907267692  3.53846153846154  6
X7  0.271763074668831  -0.0144074670714286  -0.116576208165584  -0.746413238655844  -0.678300569521104  -0.751504666551948  0.508820902357143  0.155545372837987  0.174110150337013  -0.968289432435065  -0.960710541493507  -0.944744920006493  0.0827375991637013  0.0118276144734253  0.00325069376338636  -0.772762361561364  -0.745761943305422  -0.844126145412533  -0.0314240762423247  -0.0652158058272727  0.0914386002553571  -0.807927530906818  -0.789108661198052  -0.770449843149351  -0.09977306912  -0.0407044334793961  -0.0593308207557468  -0.816896985090909  -0.868596759133117  -0.835320399253247  -0.704042311179545  -0.725811483454545  -0.704042311179545  -0.725811483454545  -0.774422978887338  -0.767008554983766  -0.731953003218831  -0.770552426775974  -0.848697427418831  -0.86204908262987  -0.760889111022727  -0.698874563405844  -0.782550237266234  -0.742112716063636  -0.688829211849058  -0.755891727882468  -0.785726805427597  -0.761966827746753  -0.832527091905844  -0.780093228678896  -0.745518377861688  -0.854528516730519  -0.774384802106818  -0.809166695526623  -0.765628436268507  -0.819827883931818  -0.781133468655844  -0.794158117743507  -0.729948419235714  -0.767587022467857  -0.763927411646104  -0.772770403953084  -0.79875380599026  -0.792607776870455  -0.862304779220779  -0.871748429126623  3.47077922077922  7
X8  0.276843863544484  -0.019053049207153  -0.106299461495018  -0.627095043925267  -0.536937070598577  -0.612434956333452  0.684972924654804  -0.0557132419629893  0.0794958464413879  -0.96307610316726  -0.956724656120996  -0.941040373701068  0.0787335186147687  0.00556285590905338  -0.0151003660779359  -0.655770700872989  -0.61789677922242  -0.753878268588185  -0.0415140977496085  -0.0746356364311032  0.0810190880950178  -0.723184759695374  -0.671318302577224  -0.667340193602847  -0.0842669326512455  -0.0467088608211032  -0.0639344231402135  -0.725215267587189  -0.763581729281139  -0.746358018217082  -0.567705729413523  -0.610092122311388  -0.567705729413523  -0.610092122311388  -0.654758522690391  -0.638987788073666  -0.599188148490712  -0.643871267786833  -0.749765396637011  -0.753707153215658  -0.638737299064413  -0.555019072663701  -0.662046316889324  -0.623750880674733  -0.557941438841139  -0.618532879292918  -0.672596018760142  -0.637676785261922  -0.737059975469751  -0.66976975075089  -0.622834907076868  -0.769815045675445  -0.666457864058719  -0.690534190964769  -0.652540227041993  -0.742900764987189  -0.665022779426334  -0.704201222003915  -0.598390228683986  -0.678859193831317  -0.631263480618505  -0.652138630116726  -0.674965552459787  -0.687141730290391  -0.757643743893238  -0.766767475763701  3.63701067615658  8
X9  0.278108129826389  -0.0170195371765972  -0.11148120434375  -0.594254087225694  -0.488285766957049  -0.606931726824444  0.677359640902778  -0.0111023111708333  0.102284722889455  -0.965963665659722  -0.958399300416667  -0.941426973958333  0.0773513423482639  0.00864198390107639  -0.0111385197780313  -0.620383520288194  -0.584518073976389  -0.774611534743056  -0.0183412226054514  -0.0787015807166667  0.0865238385802083  -0.718643937184028  -0.668200066446354  -0.658851513625347  -0.0989170574920139  -0.0315046599743056  -0.0513747996423611  -0.72740824231875  -0.785703953864583  -0.743300273965278  -0.537862060979826  -0.578038647288194  -0.537862060979826  -0.578038647288194  -0.638021601396528  -0.612009612681597  -0.599456625604514  -0.659493554660417  -0.760894519781597  -0.778047553958333  -0.605194228848611  -0.511586947967014  -0.670337176797917  -0.591251971828819  -0.509866263400729  -0.605837756766667  -0.635722871475694  -0.603201549488194  -0.754895610711806  -0.639162669638542  -0.593077787694444  -0.793346684177083  -0.670131378302778  -0.701800790290972  -0.645411053148958  -0.735639673708333  -0.654597745803472  -0.696315659333333  -0.568461480618056  -0.650619550684028  -0.602719602501042  -0.627449227548958  -0.695554477584028  -0.695645956423611  -0.780869728608333  -0.790927611887153  3.47569444444444  9
X10  0.272551986462585  -0.0185682979064846  -0.110570873152721  -0.634996207469048  -0.553516867767041  -0.647015024238095  0.567112824302721  0.0970685953829932  0.0958396175995578  -0.959002295782313  -0.958280475  -0.944089291142857  0.0819300077068027  -0.00350794917086735  -0.00445241057622449  -0.655415442930952  -0.638274132362925  -0.774980232003401  -0.0367318710510204  -0.0570686614357823  0.0896762433010204  -0.766074367153061  -0.691138256347619  -0.684859338092177  -0.0903564619568503  -0.0446287006305748  -0.0531905204878231  -0.766858541204082  -0.798004127453061  -0.763049882394558  -0.58620244942915  -0.614844684615306  -0.58620244942915  -0.614844684615306  -0.672964571692517  -0.640029703908503  -0.638391958981293  -0.686742168081633  -0.783945093034014  -0.795364294721088  -0.638699177697279  -0.57412916412585  -0.687721967802721  -0.63457874877551  -0.572004696765306  -0.65520932044898  -0.667725616936054  -0.656922880894558  -0.755112962573469  -0.674060574343537  -0.642946081107143  -0.793579464540816  -0.721900676738095  -0.71603417985034  -0.683897512265306  -0.781623775513605  -0.681459441001361  -0.715832005884354  -0.608451940064626  -0.679573199531633  -0.635045246503742  -0.649328472846939  -0.720433056465646  -0.720160673895918  -0.796833234865306  -0.808975175676871  3.55442176870748  10
